id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
42543101,Aparthotel in Camperdown  5.0  3  4  1 bath,Corangamite,-38.23519,143.15167,Entire home/apt,196.0,1,4,0.11,8,28,0
42543367,Aparthotel in Camperdown  2  2  2,Corangamite,-38.23689,143.15026,Entire home/apt,216.0,1,1,0.03,8,28,0
42545143,Home in Murroon  4.94  4  6  2,Colac Otway,-38.40799,143.85217,Entire home/apt,448.0,2,186,4.28,2,340,56
42567880,Cabin in Apollo Bay  4.33  2  3  1 bath,Colac Otway,-38.74010086,143.67399597,Entire home/apt,410.0,2,18,0.39,65,264,3
42569349,Farm stay in Deans Marsh  4.94  5  5  2,Surf Coast,-38.3918,143.91539,Entire home/apt,540.0,2,78,1.68,1,346,16
42591480,Hotel in Torquay  4.44  1 bedroom  3  1 private bath,Surf Coast,-38.32281,144.31924,Private room,561.0,1,9,0.21,3,354,0
42591522,Hotel in Torquay  4.61  Studio  3  1 private bath,Surf Coast,-38.322,144.31892,Private room,531.0,1,18,0.42,3,352,6
42593428,Farm stay in Framlingham  4.96  1 bed  1 bath,Moyne,-38.25217,142.70342,Entire home/apt,120.0,1,233,5.18,1,108,63
42627716,Rental unit in Geelong  4.87  1 bedroom  1 bed  1 bath,Greater Geelong,-38.1531,144.36324,Entire home/apt,144.0,3,47,1.08,1,315,15
42630003,Guest suite in Wallington  4.88  Studio  1 bed  1 bath,Greater Geelong,-38.2132,144.50639,Entire home/apt,183.0,2,84,1.81,1,159,23
42630070,Townhouse in Torquay  4.86  3  4  2.5,Surf Coast,-38.30742,144.35333,Entire home/apt,600.0,5,14,0.32,1,25,0
42642489,Bungalow in Mount Duneed  4.0  2  2  2,Greater Geelong,-38.22283,144.32336,Entire home/apt,350.0,3,8,0.22,2,86,0
42645018,Home in Apollo Bay  4.40  2  3  1 bath,Colac Otway,-38.74691,143.66864,Entire home/apt,412.0,2,5,0.14,587,173,0
42647075,Hotel in Port Fairy  4.73  1 bedroom  1 bed  0 shared,Moyne,-38.38526,142.23843,Private room,109.0,1,26,0.66,11,326,5
42670625,Home in Anglesea  4.93  4  10  2.5,Surf Coast,-38.42461,144.17214,Entire home/apt,698.0,7,14,0.38,1,77,3
42692862,Home in Lorne  4.86  3  4  1 bath,Surf Coast,-38.54781,143.97215,Entire home/apt,233.0,2,79,1.72,3,21,28
42694217,Cottage in Warrnambool  4.96  2  3  1 bath,Warrnambool,-38.38474,142.48906,Entire home/apt,171.0,2,46,0.99,1,0,3
42697185,Rental unit in Anglesea  4.92  1 bedroom  2  1 bath,Surf Coast,-38.40443,144.18649,Entire home/apt,245.0,2,106,2.45,1,341,22
42699043,Rental unit in Geelong  4.64  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14963,144.36346,Entire home/apt,152.0,2,128,2.76,42,310,27
42722952,Cottage in Peterborough  4.91  2  2  1.5,Moyne,-38.60162,142.862,Entire home/apt,202.0,1,299,6.52,1,0,120
42759802,Bus in Port Fairy  4.89  2  0,Moyne,-38.37975,142.24137,Entire home/apt,200.0,2,35,0.83,1,358,1
42765145,Rental unit in Geelong  4.92  3  2  1 bath,Greater Geelong,-38.14942,144.37321,Entire home/apt,350.0,1,12,0.26,1,357,0
42782342,Home in Apollo Bay  4.92  3  4  2,Colac Otway,-38.77894,143.62103,Entire home/apt,465.0,2,142,3.1,1,55,32
42794800,Rental unit in Geelong  4.80  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14962,144.36524,Entire home/apt,154.0,1,121,2.67,42,0,45
42797346,Home in Portarlington  4.84  5  10  2,Greater Geelong,-38.12016,144.65914,Entire home/apt,684.0,2,32,0.74,2,288,3
42802422,Guesthouse in Norlane  4.82  2  2  1.5,Greater Geelong,-38.09098,144.3444,Entire home/apt,161.0,1,71,1.58,1,62,22
42847668,Home in Torquay  4.95  4  4  2,Surf Coast,-38.31435,144.32434,Entire home/apt,567.0,2,41,0.96,1,47,11
42848580,Home in Torquay  4.74  3  5  2,Surf Coast,-38.31405,144.3427,Entire home/apt,608.0,2,39,0.85,67,61,0
42862356,Rental unit in Johanna  3  3  3,Colac Otway,-38.7331,143.37597,Entire home/apt,395.0,3,2,0.06,2,85,0
42864608,Home in Skenes Creek  4.27  3  4  1 bath,Colac Otway,-38.72291,143.71711,Entire home/apt,403.0,2,15,0.4,587,162,0
42883046,Home in Barwon Heads  5.0  4  6  2,Greater Geelong,-38.278,144.49083,Entire home/apt,673.0,2,4,0.28,123,328,0
42883830,Home in Belmont  4.91  3  3  2,Greater Geelong,-38.17576,144.3509,Entire home/apt,216.0,1,277,6.07,6,18,66
42885873,Tiny home in Birregurra  5.0  1 bedroom  1 bed  1 bath,Colac Otway,-38.30633,143.8466,Entire home/apt,236.0,2,72,1.66,1,83,8
42894635,Hotel in Princetown  4.22  1 bedroom  1 bed  1 private bath,Corangamite,-38.66143,143.12609,Private room,355.0,1,18,0.49,12,355,2
42898425,Rental unit in Warrnambool  4.89  3  5  2,Warrnambool,-38.39744,142.47259,Entire home/apt,493.0,2,65,1.5,19,134,9
42914955,Barn in Jan Juc  4.83  1 bed  1 bath,Surf Coast,-38.35577,144.29125,Entire home/apt,177.0,1,98,2.13,1,337,39
42953866,Home in Lorne  4.67  5  7  2,Surf Coast,-38.53745,143.97164,Entire home/apt,445.0,2,12,0.28,2,272,2
42954292,Home in Lorne  4.62  3  4  1 bath,Surf Coast,-38.53867,143.97127,Entire home/apt,320.0,2,41,0.97,2,0,12
42964103,Home in Port Fairy  3  4  2,Moyne,-38.38947,142.22398,Entire home/apt,227.0,1,1,0.03,97,12,0
42983080,Rental unit in Geelong  4.85  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14891,144.36333,Entire home/apt,169.0,3,72,1.68,42,254,11
42990430,Home in Anglesea  4.89  3  4  2,Surf Coast,-38.41522,144.17566,Entire home/apt,600.0,4,37,0.86,1,187,6
43013879,Rental unit in Geelong  4.87  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14982,144.36367,Entire home/apt,174.0,2,97,2.24,42,253,17
43014555,Rental unit in Geelong  4.84  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14925,144.3644,Entire home/apt,334.0,1,50,1.18,25,353,13
43024197,Home in Port Fairy  4.82  4  4  2,Moyne,-38.377495,142.228455,Entire home/apt,343.0,2,11,0.26,112,147,3
43024204,Home in Port Fairy  4.93  3  3  2,Moyne,-38.38946,142.22721,Entire home/apt,397.0,2,14,0.36,112,78,1
43046735,Rental unit in Geelong  4.74  1 bedroom  1 bed  1 bath,Greater Geelong,-38.15019,144.365,Entire home/apt,174.0,2,52,1.23,42,0,8
43055199,Rental unit in Geelong  4.72  1 bedroom  1 bed  1 bath,Greater Geelong,-38.14925,144.3644,Entire home/apt,268.0,1,68,1.65,25,358,16
43056536,Rental unit in Geelong  4.17  Studio  1 bed  1 bath,Greater Geelong,-38.15476,144.36764,Entire home/apt,189.0,2,6,0.14,7,82,0
43082851,Home in Saint Leonards  5.0  4  6  2,Greater Geelong,-38.17038,144.70563,Entire home/apt,350.0,3,18,0.49,1,247,2
43090058,Home in Ocean Grove  4.88  4  8  2.5,Greater Geelong,-38.25621,144.52086,Entire home/apt,429.0,4,25,0.58,1,110,6
43096349,Home in Torquay  4.80  2  4  2,Surf Coast,-38.31589,144.33843,Entire home/apt,451.0,2,127,2.94,18,0,28
43105993,Home in Barwon Heads  4.75  3  5  2,Greater Geelong,-38.27877,144.48689,Entire home/apt,605.0,2,4,0.11,40,326,0
43114192,Rental unit in Geelong  4.25  2  3  1 bath,Greater Geelong,-38.15367,144.36822,Entire home/apt,321.0,2,4,0.16,7,326,0
43183949,Home in Barwon Heads  4.83  3  5  2.5,Greater Geelong,-38.28437,144.49406,Entire home/apt,1080.0,2,141,3.24,67,252,39
43210646,Home in North Shore  4.81  5  7  2,Greater Geelong,-38.10041,144.37064,Entire home/apt,873.0,2,47,1.09,6,0,16
43222912,Home in Newtown  4.98  3  3  2.5,Greater Geelong,-38.14278,144.32386,Entire home/apt,395.0,2,64,1.69,1,5,22
43249133,Home in Wye River  4  4  2.5,Colac Otway,-38.63168,143.89198,Entire home/apt,475.0,2,1,0.03,1,1,0
43260468,Home in Bells Beach  4  5  1 bath,Surf Coast,-38.357288,144.274414,Entire home/apt,500.0,7,2,0.05,113,306,0
43267960,Cottage in Birregurra  4.94  2  2  1 bath,Colac Otway,-38.34396,143.78291,Entire home/apt,350.0,2,95,2.2,1,342,18
43286492,Home in Saint Leonards  5.0  3  5  2,Greater Geelong,-38.18171,144.71259,Entire home/apt,500.0,3,3,0.09,1,359,0
43287338,Rental unit in Geelong  4.33  1 bedroom  1 bed  1 bath,Greater Geelong,-38.1537,144.36647,Entire home/apt,200.0,2,6,0.16,7,75,2
43287496,Rental unit in Geelong  4.67  1 bedroom  2  1 bath,Greater Geelong,-38.15516,144.36699,Entire home/apt,211.0,2,6,0.13,7,91,3
43287651,Rental unit in Geelong  1 bedroom  1 bed  1 bath,Greater Geelong,-38.15483,144.36639,Entire home/apt,262.0,2,1,0.08,7,64,0
43287704,Rental unit in Geelong  4.75  1 bedroom  1 bed  1 bath,Greater Geelong,-38.15518,144.36855,Entire home/apt,262.0,2,4,0.12,7,81,1
43319877,Earthen home in Charlemont  4.89  1 bedroom  1 bed  1 private bath,Greater Geelong,-38.21223,144.35594,Private room,105.0,2,19,0.87,1,122,9
43328357,Home in Barwon Heads  5.0  4  5  2.5,Greater Geelong,-38.28589,144.47446,Entire home/apt,807.0,2,7,0.19,1,36,2
43352085,Home in Barwon Heads  4.91  4  5  2,Greater Geelong,-38.2659,144.49351,Entire home/apt,411.0,1,182,4.3,2,0,40
43358881,Home in Apollo Bay  5.0  4  3,Colac Otway,-38.74925,143.66858,Entire home/apt,1140.0,4,10,0.27,2,104,4
43408511,Home in Allansford  5.0  7  8  7,Warrnambool,-38.40144,142.58684,Entire home/apt,529.0,2,55,1.3,1,237,9
43420141,Bed and breakfast in Hamilton  4.93  1 bedroom  1 bed  1 private bath,Southern Grampians,-37.74383,142.00399,Private room,56.0,1,116,2.67,1,236,50
43444145,Cottage in Apollo Bay  4.91  2  2  2,Colac Otway,-38.73301,143.68777,Entire home/apt,998.0,1,55,1.28,3,313,16
43444164,Cottage in Apollo Bay  4.97  2  2  2,Colac Otway,-38.73329925537109,143.68666076660156,Entire home/apt,1230.0,1,76,1.74,3,303,28
43444398,Home in Torquay  4.0  2  2  1 bath,Surf Coast,-38.33368,144.32192,Entire home/apt,434.0,2,10,0.26,136,346,0
43444438,Townhouse in Torquay  4.75  4  7  2,Surf Coast,-38.325165,144.31926,Entire home/apt,614.0,2,8,0.19,136,345,1
43444632,Home in Jan Juc  3  5  1 bath,Surf Coast,-38.34145,144.30314,Entire home/apt,318.0,2,1,0.02,136,293,0
43444664,Home in Torquay  4.63  4  4  2,Surf Coast,-38.333321,144.306671,Entire home/apt,622.0,2,8,0.22,136,328,2
43444793,Home in Jan Juc  3  6  2,Surf Coast,-38.346355,144.302444,Entire home/apt,480.0,2,2,0.05,136,0,0
43468975,Home in Aireys Inlet  4  5  2,Surf Coast,-38.456276,144.103363,Entire home/apt,550.0,2,1,0.07,113,332,0
43469051,Home in Fairhaven  5  6  2,Surf Coast,-38.464283,144.077194,Entire home/apt,650.0,2,1,0.03,113,340,0
43469205,Home in Fairhaven  5  5  3,Surf Coast,-38.46331,144.079773,Entire home/apt,750.0,5,2,0.06,113,330,0
43469707,Home in Torquay  4.69  5  5  3.5,Surf Coast,-38.30905,144.33524,Entire home/apt,1114.0,5,13,0.35,1,357,1
43471502,Home in Skenes Creek  4.94  3  6  1.5,Colac Otway,-38.72195,143.71382,Entire home/apt,622.0,2,140,3.23,1,95,34
43478716,Home in Skenes Creek North  4.94  4  5  2,Colac Otway,-38.70027,143.70943,Entire home/apt,695.0,2,142,3.3,2,115,37
43480235,Home in Rocklands  4.99  4  6  2,Southern Grampians,-37.29626,141.98835,Entire home/apt,200.0,2,67,1.55,1,208,19
43498522,Home in Port Fairy  3.80  3  3  1 bath,Moyne,-38.38696,142.2241,Entire home/apt,235.0,1,10,0.28,97,127,0
43526796,Boutique hotel in Port Fairy  4.85  2  3  1 private bath,Moyne,-38.38624,142.23747,Private room,450.0,1,55,1.31,9,238,21
43529538,Home in Torquay  4.87  4  5  2.5,Surf Coast,-38.32486,144.31028,Entire home/apt,761.0,2,76,1.75,67,251,14
43546915,Home in Torquay  4.83  3  5  2.5,Surf Coast,-38.33126,144.32134,Entire home/apt,770.0,1,23,0.59,1,1,5
43547162,Home in Indented Head  4.78  4  4  2.5,Greater Geelong,-38.13503,144.70813,Entire home/apt,457.0,2,37,0.85,153,244,11
43548102,Home in Jan Juc  5.0  4  4  1.5,Surf Coast,-38.3381,144.29631,Entire home/apt,1210.0,2,17,0.43,2,287,4
43557758,Home in Torquay  4.87  3  4  2,Surf Coast,-38.3318195,144.3171931,Entire home/apt,591.0,2,55,1.27,153,222,10
43569955,Home in Dunkeld  4.95  2  2  1 bath,Southern Grampians,-37.64588,142.345,Entire home/apt,395.0,2,202,4.67,1,300,35
43570420,Home in Torquay  5.0  3  3  2,Surf Coast,-38.33604,144.31825,Entire home/apt,685.0,2,92,2.13,153,0,32
43571784,Home in Ocean Grove  4.79  2  5  1.5,Greater Geelong,-38.26256,144.55387,Entire home/apt,450.0,5,14,0.33,2,29,2
43573823,Home in Portarlington  4.79  4  7  2,Greater Geelong,-38.12272,144.63281,Entire home/apt,400.0,2,19,0.51,1,331,2
43581725,Home in Skenes Creek  4.79  3  6  2,Colac Otway,-38.72579956,143.70899963,Entire home/apt,1077.0,2,82,1.89,65,147,18
43582692,Boutique hotel in Apollo Bay  4.90  Studio  1 bed  1 private bath,Colac Otway,-38.75579,143.66818,Private room,331.0,1,10,0.23,5,215,0
43605728,Home in Jan Juc  4.89  4  5  2.5,Surf Coast,-38.34349,144.2941,Entire home/apt,350.0,2,19,0.45,1,0,0
43606245,Home in Separation Creek  4.97  2  2  2.5,Colac Otway,-38.6273,143.89747,Entire home/apt,557.0,3,77,2.04,8,297,23
43616844,Campsite in Byaduk North  1 bed  0,Southern Grampians,-37.83934,141.93109,Entire home/apt,76.0,3,1,0.04,8,362,0
43627647,Home in Skibo  4.96  4  5  2,Corangamite,-38.21344,143.12118,Entire home/apt,333.0,2,54,1.25,2,0,6
43641724,Home in Port Fairy  4  4  2,Moyne,-38.39155,142.22082,Entire home/apt,451.0,2,1,0.04,112,111,0
43642992,Cottage in Port Fairy  4.68  3  4  1 bath,Moyne,-38.38685,142.22628,Entire home/apt,286.0,2,50,1.17,112,133,10
43646068,Home in Ocean Grove  4.78  4  8  2.5,Greater Geelong,-38.26742,144.53867,Entire home/apt,715.0,5,9,0.21,1,264,0
43655720,Hotel in Princetown  3.86  2  3  1 private bath,Corangamite,-38.63432,143.1107,Private room,408.0,1,7,0.16,12,334,4
43657691,Hotel in Princetown  3.80  1 bedroom  2  1 private bath,Corangamite,-38.63518,143.11026,Private room,375.0,1,10,0.41,12,358,4
43658042,Home in Princetown  4.39  2  3  1 bath,Corangamite,-38.63494,143.11183,Entire home/apt,461.0,1,18,0.42,12,345,5
43681539,Rental unit in Port Campbell  4.91  1 bedroom  1 bed  1 bath,Corangamite,-38.62052,142.99308,Entire home/apt,338.0,1,74,1.71,3,47,23
43701169,Home in Torquay  4.92  5  7  2,Surf Coast,-38.33773,144.3108,Entire home/apt,575.0,1,12,0.52,1,324,5
43718194,Home in Port Fairy  4.78  5  6  3,Moyne,-38.38479,142.22654,Entire home/apt,542.0,2,9,0.21,112,99,0
