id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18390782,Home in Moggs Creek · 3 bedrooms · 3 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.4661,144.06619,Entire home/apt,350,2,2,2023-04-10,0.05,113,333,1,
18390797,Home in Jan Juc · ★3.80 · 3 bedrooms · 4 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.34569549560547,144.29519653320312,Entire home/apt,350,2,5,2023-04-10,0.07,113,337,1,
18390802,Home in Anglesea · 1 bedroom · 1 bed · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.399192810058594,144.19003295898438,Entire home/apt,250,2,0,,,113,362,0,
18390808,Home in Fairhaven · 2 bedrooms · 2 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.46482849121094,144.0789337158203,Entire home/apt,350,2,2,2020-11-30,0.03,113,335,0,
18390811,Home in Aireys Inlet · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.45533752441406,144.1053466796875,Entire home/apt,350,4,0,,,113,328,0,
18390812,Home in Aireys Inlet · 4 bedrooms · 8 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.454063415527344,144.1116180419922,Entire home/apt,325,2,1,2020-03-16,0.02,113,334,0,
18390817,Home in Torquay · 3 bedrooms · 3 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.327430725097656,144.31918334960938,Entire home/apt,325,2,2,2022-04-10,0.03,113,356,0,
18390821,Home in Aireys Inlet · ★4.75 · 3 bedrooms · 5 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.4539794921875,144.11231994628906,Entire home/apt,295,2,4,2022-11-06,0.16,113,330,0,
18390830,Home in Aireys Inlet · ★4.33 · 2 bedrooms · 2 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.46150207519531,144.10687255859375,Entire home/apt,325,2,6,2022-03-30,0.09,113,341,0,
18390835,Home in Fairhaven · 4 bedrooms · 7 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.462806701660156,144.0946502685547,Entire home/apt,400,2,1,2022-09-25,0.07,113,347,0,
18390839,Home in Aireys Inlet · ★4.0 · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.46395,144.0988,Entire home/apt,375,2,6,2023-11-11,0.08,113,320,2,
18390842,Home in Anglesea · 3 bedrooms · 4 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.406612396240234,144.17518615722656,Entire home/apt,275,7,0,,,113,340,0,
18390843,Home in Aireys Inlet · 3 bedrooms · 4 beds · 1.5 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.463680267333984,144.09922790527344,Entire home/apt,320,3,0,,,113,240,0,
18390844,Home in Aireys Inlet · ★5.0 · 3 bedrooms · 4 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.4559326171875,144.11314392089844,Entire home/apt,330,3,3,2023-03-20,0.07,113,340,1,
18390854,Home in Aireys Inlet · 3 bedrooms · 4 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.46495819091797,144.1007843017578,Entire home/apt,300,2,2,2021-12-04,0.03,113,339,0,
18390858,Cottage in Aireys Inlet · ★4.33 · 2 bedrooms · 2 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.4546012878418,144.10765075683594,Entire home/apt,285,2,9,2023-09-30,0.12,113,0,2,
18390860,Home in Aireys Inlet · 2 bedrooms · 2 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.46376037597656,144.10137939453125,Entire home/apt,325,7,0,,,113,344,0,
18390861,Home in Moggs Creek · 2 bedrooms · 3 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.46510314941406,144.06565856933594,Entire home/apt,275,2,0,,,113,179,0,
18390870,Home in Anglesea · ★4.63 · 3 bedrooms · 3 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.40884017944336,144.16896057128906,Entire home/apt,395,2,8,2022-11-01,0.11,113,334,0,
18394492,Home in Warrnambool · 3 bedrooms · 8 beds · 1 bath,127420090,Rachel,,Warrnambool,-38.3753,142.48443,Entire home/apt,,2,2,2017-05-06,0.02,1,0,0,
18395674,Home in Jan Juc · ★4.74 · 5 bedrooms · 7 beds · 2.5 baths,40920569,Suzanne,,Surf Coast,-38.34252,144.29394,Entire home/apt,618,2,110,2023-11-18,1.41,1,198,16,
18397458,Home in Newtown · ★4.89 · 1 bedroom · 1 bed · 1 private bath,60705590,Neen,,Greater Geelong,-38.15388,144.3391,Private room,221,2,130,2022-12-31,1.62,3,83,2,
18400780,Home in Anglesea · ★4.87 · 3 bedrooms · 4 beds · 1 bath,127483498,Penelope,,Surf Coast,-38.40721,144.17975,Entire home/apt,489,2,67,2023-10-01,0.84,1,61,11,
18417313,Home in Apollo Bay · ★4.89 · 3 bedrooms · 6 beds · 2.5 baths,116460490,Rachelle,,Colac Otway,-38.74552,143.66953,Entire home/apt,475,2,109,2023-10-01,1.36,10,45,6,
18449001,Rental unit in Torquay · ★4.50 · 1 bedroom · 1 bed · 1 bath,51748440,Reservations Team,,Surf Coast,-38.33185,144.32143,Entire home/apt,295,2,22,2023-09-30,0.31,136,341,1,
18449901,Rental unit in Torquay · ★4.60 · 2 bedrooms · 3 beds · 1 bath,51748440,Reservations Team,,Surf Coast,-38.33185,144.32143,Entire home/apt,526,2,15,2023-01-02,0.21,136,357,1,
18465054,Guesthouse in Warrnambool · ★4.88 · 1 bedroom · 1 bed · 1 bath,126708278,Mary,,Warrnambool,-38.38838,142.4867,Entire home/apt,,1,66,2020-02-29,0.82,1,0,0,
18466195,Rental unit in Warrnambool · ★4.96 · 1 bedroom · 1 bed · 1 bath,105237142,Linda,,Warrnambool,-38.37479,142.51814,Entire home/apt,147,4,235,2023-12-04,2.90,1,151,23,
18476149,Home in Portarlington · ★4.70 · 3 bedrooms · 3 beds · 1 bath,21852130,Duc,,Greater Geelong,-38.11113,144.62923,Entire home/apt,129,1,298,2023-12-09,3.72,1,67,43,
18477020,Home in Anglesea · ★4.86 · 3 bedrooms · 4 beds · 1.5 baths,34473,George,,Surf Coast,-38.40413,144.19232,Entire home/apt,385,2,94,2023-12-15,1.18,1,328,9,
18481460,Townhouse in Warrnambool · ★4.87 · 3 bedrooms · 4 beds · 2.5 baths,128208370,Helen,,Warrnambool,-38.38819,142.47212,Entire home/apt,436,2,30,2023-11-05,0.38,1,159,4,
18508542,Bungalow in Jan Juc · ★4.91 · Studio · 1 bed · 1 bath,128460998,Melissa,,Surf Coast,-38.34102,144.30616,Private room,180,1,126,2023-11-26,1.56,1,0,23,
18547797,Guest suite in Marengo · ★4.47 · 2 bedrooms · 3 beds · 1 bath,127296321,Alan 老王,,Colac Otway,-38.77673,143.66151,Entire home/apt,530,1,285,2023-12-09,3.53,3,324,54,
